"code_module","code_presentation","id_student","id_site","date","sum_click"
"AAA","2013J","28400","546652","-10","4"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546614","-10","11"
"AAA","2013J","28400","546714","-10","1"
"AAA","2013J","28400","546652","-10","8"
"AAA","2013J","28400","546876","-10","2"
"AAA","2013J","28400","546688","-10","15"
"AAA","2013J","28400","546662","-10","17"
"AAA","2013J","28400","546890","-10","1"
